date,vwretd,vwretx,t90ret,div_price,div_growth
1955,0.254135,0.20404,0.015976,0.041605760605959885,1.018926216162531
1956,0.085817,0.043745,0.027779,0.040308696089562224,1.0112061259606788
1957,-0.103484,-0.140687,0.037516,0.043293887093527106,0.9229522065744427
1958,0.447759,0.392664,0.020534,0.03956087038941214,1.272581505120559
1959,0.126462,0.090692,0.035866,0.03279569300957563,0.9041762642708022
1960,0.012089,-0.021911,0.038432,0.03476166279346771,1.0367214984623978
1961,0.269605,0.233137,0.025207,0.029573356407276652,1.0490867544705844
1962,-0.10312,-0.132911,0.029415,0.03435748810099071,1.0073594484753758
1963,0.208877,0.170997,0.032567,0.03234850302776171,1.102525303615185
1964,0.163038,0.128491,0.037699,0.030613447515310366,1.067962865865899
1965,0.143859,0.109939,0.040695,0.030560237995060913,1.108009804613998
1966,-0.086888,-0.116818,0.052043,0.033888824726953315,0.9793771895636844
1967,0.285664,0.247257,0.047437,0.03079317253781677,1.1333234572001227
1968,0.141686,0.109206,0.055497,0.029282207272589567,1.0547792683625448
1969,-0.10836,-0.135108,0.069772,0.030926404684052944,0.9134557293103426
1970,7.32e-4,-0.034062,0.078257,0.03602094544370349,1.1250580323014858
1971,0.161989,0.128146,0.049409,0.029998776754072365,0.9395366940851778
1972,0.173406,0.14256,0.042116,0.026997269290015335,1.0282419264249683
1973,-0.187497,-0.211787,0.071537,0.0308165432440215,0.8997206250405232
1974,-0.279413,-0.310613,0.085117,0.04525759841714461,1.0124432111980295
1975,0.373579,0.318178,0.068647,0.04202846656521331,1.224125935480761
1976,0.267803,0.219256,0.056758,0.039816904735346714,1.1550980553780645
1977,-0.029696,-0.072921,0.054138,0.04662493703341353,1.0855941788370052
1978,0.085462,0.032911,0.073612,0.050876600210473244,1.1271007178484704
1979,0.244143,0.182911,0.106025,0.05176382669533042,1.2035395397233133
1980,0.332394,0.271272,0.125936,0.04807940393558585,1.1807859639077625
1981,-0.039875,-0.083576,0.164605,0.047686442083576974,0.9089338973201113
1982,0.204221,0.142454,0.131985,0.054065196498064516,1.2952738200041163
1983,0.226468,0.178842,0.093317,0.040400664380807694,0.8808994156102821
1984,0.031642000000000003,-0.011466,0.111154,0.04360800943619525,1.0670121558812349
1985,0.314116,0.264618,0.085266,0.039140673310043006,1.135066714577344
1986,0.155628,0.117892,0.067499,0.03375639149399068,0.9641121832801389
1987,0.018312,-0.01357,0.066396,0.032320590411889505,0.9444729898240399
1988,0.17555,0.129828,0.068606,0.04046810664986178,1.4146399993726806
1989,0.28433,0.240277,0.090311,0.035518678488756894,1.0885856455098177
1990,-0.060818,-0.093859,0.084378,0.036463420152051285,0.9302429427507761
1991,0.336459,0.296376,0.063854,0.03091927033514974,1.099266054386979
1992,0.09063,0.061165,0.039166,0.027766652688319127,0.9529655674475497
1993,0.115863,0.087971,0.03248,0.025636712743262402,1.0045143112166899
1994,-0.00746,-0.032716,0.042775,0.026110222023728147,0.9851497051484263
1995,0.356624,0.32499,0.060922,0.023874897169035236,1.2115561472917395
1996,0.211739,0.187648,0.054145,0.020284629789298014,1.0090514664601467
1997,0.303444,0.28179,0.054943,0.01689356290812083,1.067507774355569
1998,0.222446,0.204872,0.053026,0.014585781726191627,1.0402778913826425
1999,0.252721,0.236537,0.049227,0.013088164769837096,1.109573713895534
2000,-0.111598,-0.121406,0.061522,0.011163290439042406,0.749379318833415
2001,-0.112696,-0.124474,0.044809,0.01345248456356507,1.0550652663131996
2002,-0.208339,-0.221018,0.017951,0.0162763709559397,0.942502475292916
2003,0.331419,0.307861,0.011604,0.018012617548806675,1.4473742374004368
2004,0.129912,0.108413,0.01308,0.019396199791954727,1.193552238687498
2005,0.073041,0.053772,0.03079,0.018285739230118114,0.9934420250709387
2006,0.162271,0.140649,0.048354,0.01895587512021657,1.1824515119622125
2007,0.072871,0.052841,0.050863,0.019024715032944117,1.0566644838590324
2008,-0.383286,-0.397572,0.020446,0.023714037196146398,0.7509179493759435
2009,0.31653,0.284358,0.002232,0.025049090674095442,1.3566648198235904
2010,0.178885,0.154049,0.001286,0.0215207499854857,0.991493077458655
2011,-0.009407,-0.029774,9.9e-4,0.020992016293110982,0.9463889508374974
2012,0.15998,0.131351,0.001079,0.02530514402692008,1.3638042006186575
2013,0.316823,0.288865,8.17e-4,0.02169195377328137,1.1048346522058146
2014,0.108102,0.085417,4.98e-4,0.02089980164305505,1.0457794736747816
2015,-0.015908,-0.036961,6.11e-4,0.02186100459067597,1.007330134494164
2016,0.12927,0.104065,0.003544,0.022829271827292663,1.1529662278535073
2017,0.209001,0.18448,0.008854,0.020701911387275507,1.0741034661773552
2018,-0.062069,-0.081384,0.018767,0.021026195929528813,0.9330056359854804
2019,0.29747,0.271163,0.022608,0.020695221619886794,1.2511535652083923
2020,0.213744,0.191261,0.00692,0.018873277980224312,1.0863860466415713
2021,0.23572100000000001,0.218014,6.65e-4,0.014537599732022954,0.9382048003825223
2022,-0.198496,-0.212394,0.013825,0.017645878776951784,0.9560037596430601
2023,0.250949,0.229147,0.049512,0.017737504139049065,1.2355292856526072
